text,label
The World Health Organization reports that a sustainable material has been thoroughly tested.,0
Study published in The New England Journal of Medicine reveals diet affects longevity about artificial intelligence.,0
Clinical trials show the novel treatment approach is reliable for chronic diseases.,0
EXPOSED: Banks is actually hidden by the government for decades. Shocking new evidence reveals everything.,1
MIRACLE: Chemicals cures autism in 24 hours! This has been hidden by big pharma for years!,1
DISCOVERED: Big Pharma is kept secret by scientists. This is scientifically proven!,1
EXPOSED: Scientists is actually hidden from the public. Shocking new evidence reveals everything.,1
Study published in PLOS ONE reveals meditation reduces anxiety about ecology.,0
REVEALED: Government admits chemtrails are real. The implications are enormous!,1
WARNING: Banks causes personality changes! This ancient remedy prevents all problems!,1
MIRACLE: Oil Companies cures heart disease in 24 hours! This has been hidden by big pharma for years!,1
DISCOVERED: Government is kept secret by scientists. This is scientifically proven!,1
Scientists at University of California have an innovative medical device that could provide better solutions.,0
SHOCKING: Big Pharma finally admits concealed by authorities. Everything you've been told is a lie!,1
The American Medical Association confirms the benefits of renewable energy based on scientific data.,0
ALERT: Doctors causes cancer! Big pharma doesn't want you to know this!,1
Scientists discover an effective treatment method during field studies.,0
Scientists discover a new understanding of climate patterns during observational studies.,0
CONFIRMED: Big Pharma responsible for economic crashes. Witnesses have been silenced!,1
URGENT: The Media linked to concealed by authorities. This is dangerous to your health!,1
New study indicates social connections reduce stress related to technological advancement.,0
Scientists at Oxford University have a new understanding of climate patterns that could reduce environmental impact.,0
EXPOSED: Scientists is actually kept secret by scientists. Shocking new evidence reveals everything.,1
CONFIRMED: Chemicals responsible for global warming. Documents have been classified!,1
The World Meteorological Organization confirms the value of scientific research based on empirical observations.,0
URGENT: Big Pharma linked to concealed by authorities. Protect yourself and your family!,1
SHOCKING: Vaccines finally admits hidden from the public. Everything you've been told is a lie!,1
Study published in PNAS reveals learning new skills maintains brain health about human health.,0
EXPOSED: Banks is actually kept secret by scientists. Shocking new evidence reveals everything.,1
New study indicates learning new skills maintains brain health related to human behavior.,0
URGENT: Vaccines linked to concealed by authorities. This is dangerous to your health!,1
WARNING: 5G Networks causes genetic mutations! Stop using this immediately!,1
Scientists at Oxford University have an effective treatment method that could reduce environmental impact.,0
BREAKING: Doctors discovered to predict the future! hidden from the public,1
The American Medical Association announces a new vaccine in space exploration.,0
DISCOVERED: 5G Networks is suppressed by big corporations. Thousands of witnesses confirm this!,1
New study indicates social connections reduce stress related to human behavior.,0
Study published in PNAS reveals meditation reduces anxiety about ecology.,0
MIRACLE: Government cures Alzheimer's in 24 hours! This has been hidden by big pharma for years!,1
ALERT: Doctors causes Alzheimer's! This ancient remedy works instantly!,1
WARNING: Government causes autism! Switch to natural alternatives!,1
CONFIRMED: Government responsible for pandemics. This is the biggest coverup in history!,1
BREAKING: Vaccines discovered to time travel! covered up by mainstream media,1
Study published in Science reveals learning new skills maintains brain health about human health.,0
DISCOVERED: Chemicals is hidden from the public. Documents prove everything!,1
SHOCKING: NASA finally admits hidden by the government for decades. Everything you've been told is a lie!,1
The World Health Organization announces a breakthrough technology in public health.,0
